Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
BMW i7 xDrive60 Sedan (20'' Wheels),,,Auto-1,4WD,Electricity,CA,large car,10,81,85,83,10,Elite
BMW i7 xDrive60 Sedan (21'' Wheels),,,Auto-1,4WD,Electricity,FA,large car,10,85,89,87,10,Elite
BMW i7 xDrive60 Sedan (21'' Wheels),,,Auto-1,4WD,Electricity,CA,large car,10,85,89,87,10,Elite
"BMW iX M60 (21"" Wheels)",,,Auto-1,4WD,Electricity,FA,standard SUV,10,76,80,77,10,Elite
"BMW iX M60 (21"" Wheels)",,,Auto-1,4WD,Electricity,CA,standard SUV,10,76,80,77,10,Elite
"BMW iX M60 (22"" Wheels)",,,Auto-1,4WD,Electricity,FA,standard SUV,10,77,80,78,10,Elite
"BMW iX M60 (22"" Wheels)",,,Auto-1,4WD,Electricity,CA,standard SUV,10,77,80,78,10,Elite
"BMW iX xDrive50 (20"" Wheels)",,,Auto-1,4WD,Electricity,FA,standard SUV,10,86,87,86,10,Elite
"BMW iX xDrive50 (20"" Wheels)",,,Auto-1,4WD,Electricity,CA,standard SUV,10,86,87,86,10,Elite
"BMW iX xDrive50 (21"" Wheels)",,,Auto-1,4WD,Electricity,FA,standard SUV,10,82,84,83,10,Elite
"BMW iX xDrive50 (21"" Wheels)",,,Auto-1,4WD,Electricity,CA,standard SUV,10,82,84,83,10,Elite
BMW iX xDrive50 (22'' Wheels),,,Auto-1,4WD,Electricity,FA,standard SUV,10,86,85,86,10,Elite
BMW iX xDrive50 (22'' Wheels),,,Auto-1,4WD,Electricity,CA,standard SUV,10,86,85,86,10,Elite
CADILLAC Lyriq,,,Auto-1,2WD,Electricity,FA,small SUV,10,97,82,89,10,Elite
CADILLAC Lyriq,,,Auto-1,2WD,Electricity,CA,small SUV,10,97,82,89,10,Elite
CADILLAC Lyriq,,,Auto-1,4WD,Electricity,FA,small SUV,10,96,81,89,10,Elite
CADILLAC Lyriq,,,Auto-1,4WD,Electricity,CA,small SUV,10,96,81,89,10,Elite
CANOO Lifestyle Delivery Vehicle,,,Auto-1,2WD,Electricity,FA,van,10,93,77,85,10,Elite
CHEVROLET Bolt EUV,,,Auto-1,2WD,Electricity,FA,station wagon,10,125,104,115,10,Elite
CHEVROLET Bolt EUV,,,Auto-1,2WD,Electricity,CA,station wagon,10,125,104,115,10,Elite
CHEVROLET Bolt EV,,,Auto-1,2WD,Electricity,FA,station wagon,10,131,109,120,10,Elite
CHEVROLET Bolt EV,,,Auto-1,2WD,Electricity,CA,station wagon,10,131,109,120,10,Elite
CHRYSLER Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,CA,minivan,7,29/87,30/77,30/82,10,Yes
CHRYSLER Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,FA,minivan,7,29/87,30/77,30/82,10,Yes
CRUISE AV,,,Auto-1,2WD,Electricity,FA,station wagon,10,64,68,66,10,Elite
CRUISE AV,,,Auto-1,2WD,Electricity,CA,station wagon,10,64,68,66,10,Elite
FARADAY FUTURE FF 91,,,Auto-1,4WD,Electricity,FA,large car,10,73,68,71,10,Elite
FARADAY FUTURE FF 91,,,Auto-1,4WD,Electricity,CA,large car,10,73,68,71,10,Elite
FISKER Ocean Extreme/One 20in,,,Auto-1,4WD,Electricity,FA,standard SUV,10,99,84,92,10,Elite
FISKER Ocean Extreme/One 20in,,,Auto-1,4WD,Electricity,CA,standard SUV,10,99,84,92,10,Elite
FISKER Ocean Sport 20in,,,Auto-1,2WD,Electricity,FA,standard SUV,10,104,81,92,10,Elite
FISKER Ocean Sport 20in,,,Auto-1,2WD,Electricity,CA,standard SUV,10,104,81,92,10,Elite
FISKER Ocean Sport 22in,,,Auto-1,2WD,Electricity,FA,standard SUV,10,82,75,79,10,Elite
FISKER Ocean Sport 22in,,,Auto-1,2WD,Electricity,CA,standard SUV,10,82,75,79,10,Elite
FISKER Ocean Ultra 20in,,,Auto-1,4WD,Electricity,FA,standard SUV,10,96,82,89,10,Elite
FISKER Ocean Ultra 20in,,,Auto-1,4WD,Electricity,CA,standard SUV,10,96,82,89,10,Elite
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,CA,small SUV,8,42,36,39,7,Yes
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,FA,small SUV,8,42,36,39,7,Yes
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,CA,small SUV,8,42,36,39,7,Yes
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,FA,small SUV,8,42,36,39,7,Yes
FORD Escape PHEV,2.5,4.0,CVT,2WD,Gasoline/Electricity,CA,small SUV,8,42/111,37/91,40/101,10,Yes
FORD Escape PHEV,2.5,4.0,CVT,2WD,Gasoline/Electricity,FA,small SUV,8,42/111,37/91,40/101,10,Yes
FORD F150 Lightning,,,Auto-1,4WD,Electricity,FA,pickup,10,76,61,68,10,Elite
FORD F150 Lightning,,,Auto-1,4WD,Electricity,CA,pickup,10,76,61,68,10,Elite
FORD F150 Lightning Extended Range,,,Auto-1,4WD,Electricity,FA,pickup,10,78,63,70,10,Elite
FORD F150 Lightning Extended Range,,,Auto-1,4WD,Electricity,CA,pickup,10,78,63,70,10,Elite
FORD F150 Lightning Platinum,,,Auto-1,4WD,Electricity,FA,pickup,10,73,60,66,10,Elite
FORD F150 Lightning Platinum,,,Auto-1,4WD,Electricity,CA,pickup,10,73,60,66,10,Elite
FORD Maverick HEV,2.5,4.0,CVT,2WD,Gasoline,CA,pickup,7,40,33,37,7,Yes
FORD Maverick HEV,2.5,4.0,CVT,2WD,Gasoline,FA,pickup,7,40,33,37,7,Yes
FORD Mustang Mach-E,,,Auto-1,2WD,Electricity,FA,small SUV,10,110,96,103,10,Elite
FORD Mustang Mach-E,,,Auto-1,2WD,Electricity,CA,small SUV,10,110,96,103,10,Elite
FORD Mustang Mach-E,,,Auto-1,4WD,Electricity,FA,small SUV,10,99,86,93,10,Elite
FORD Mustang Mach-E,,,Auto-1,4WD,Electricity,CA,small SUV,10,99,86,93,10,Elite
FORD Mustang Mach-E Cal Route 1 ER,,,Auto-1,4WD,Electricity,FA,small SUV,10,105,91,98,10,Elite
FORD Mustang Mach-E Cal Route 1 ER,,,Auto-1,4WD,Electricity,CA,small SUV,10,105,91,98,10,Elite
FORD Mustang Mach-E Extended,,,Auto-1,2WD,Electricity,FA,small SUV,10,105,92,99,10,Elite
FORD Mustang Mach-E Extended,,,Auto-1,2WD,Electricity,CA,small SUV,10,105,92,99,10,Elite
FORD Mustang Mach-E Extended,,,Auto-1,4WD,Electricity,FA,small SUV,10,97,85,92,10,Elite
FORD Mustang Mach-E Extended,,,Auto-1,4WD,Electricity,CA,small SUV,10,97,85,92,10,Elite
FORD Mustang Mach-E GT,,,Auto-1,4WD,Electricity,FA,small SUV,10,90,77,84,10,Elite
FORD Mustang Mach-E GT,,,Auto-1,4WD,Electricity,CA,small SUV,10,90,77,84,10,Elite
FORD Mustang Mach-E GT Performance,,,Auto-1,4WD,Electricity,FA,small SUV,10,90,77,82,10,Elite
FORD Mustang Mach-E GT Performance,,,Auto-1,4WD,Electricity,CA,small SUV,10,90,77,82,10,Elite
FORD Mustang Mach-E LFP,,,Auto-1,2WD,Electricity,FA,small SUV,10,107,95,101,10,Elite
FORD Mustang Mach-E LFP,,,Auto-1,2WD,Electricity,CA,small SUV,10,107,95,101,10,Elite
FORD Mustang Mach-E LFP,,,Auto-1,4WD,Electricity,FA,small SUV,10,98,87,93,10,Elite
FORD Mustang Mach-E LFP,,,Auto-1,4WD,Electricity,CA,small SUV,10,98,87,93,10,Elite
GENESIS Electrified G80,,,Auto-1,4WD,Electricity,FA,midsize car,10,105,89,97,10,Elite
GENESIS Electrified G80,,,Auto-1,4WD,Electricity,CA,midsize car,10,105,89,97,10,Elite
GENESIS Electrified GV70,,,Auto-1,4WD,Electricity,FA,small SUV,10,98,83,91,10,Elite
GENESIS Electrified GV70,,,Auto-1,4WD,Electricity,CA,small SUV,10,98,83,91,10,Elite
GENESIS GV60 Advanced 19inch,,,Auto-1,4WD,Electricity,FA,large car,10,110,90,100,10,Elite
GENESIS GV60 Advanced 19inch,,,Auto-1,4WD,Electricity,CA,large car,10,110,90,100,10,Elite
GENESIS GV60 Advanced 20inch,,,Auto-1,4WD,Electricity,FA,large car,10,103,86,95,10,Elite
GENESIS GV60 Advanced 20inch,,,Auto-1,4WD,Electricity,CA,large car,10,103,86,95,10,Elite
GENESIS GV60 Performance,,,Auto-1,4WD,Electricity,FA,large car,10,97,82,90,10,Elite
GENESIS GV60 Performance,,,Auto-1,4WD,Electricity,CA,large car,10,97,82,90,10,Elite
GENESIS GV60 Standard,,,Auto-1,2WD,Electricity,FA,large car,10,125,100,112,10,Elite
GENESIS GV60 Standard,,,Auto-1,2WD,Electricity,CA,large car,10,125,100,112,10,Elite
HONDA Accord,2.0,4.0,CVT,2WD,Gasoline,CA,large car,7,51,44,48,8,Yes
HONDA Accord,2.0,4.0,CVT,2WD,Gasoline,FA,large car,7,51,44,48,8,Yes
